# HIP	RA degrees (ICRS)	Dec degrees	V magnitude
88	0.2691	-48.8099	5.71
107	0.3338	-50.3374	5.53
122	0.3988	-77.0657	4.78
124	0.4042	61.2228	5.58
145	0.4560	-3.0275	5.13
154	0.4901	-6.0141	4.37
171	0.5423	27.0823	5.8
183	0.5830	-29.7204	5.04
194	0.6238	8.4855	5.7
207	0.6504	66.0990	5.87
301	0.9350	-17.3360	4.55
330	1.0569	62.2877	5.9
343	1.0825	-16.5290	5.78
355	1.1255	-10.5095	4.99
377	1.1721	-71.4369	5.59
379	1.1749	67.1664	5.68
418	1.2756	61.3140	5.8
443	1.3339	-5.7076	4.61
476	1.4248	13.3963	5.55
518	1.5659	58.4367	5.98
522	1.5799	-49.0752	5.7
531	1.6106	64.1962	5.57
636	1.9454	-22.5086	5.93
655	2.0145	-33.5293	5.67
671	2.0731	-8.8241	5.99
677	2.0969	29.0904	2.07
729	2.2601	18.2120	5.57
746	2.2945	59.1498	2.28
761	2.3378	-27.9879	5.42
765	2.3527	-45.7474	3.88
813	2.5092	11.1458	5.54
814	2.5091	-82.2240	5.29
840	2.5786	-5.2486	5.84
841	2.5802	46.0723	5.01
873	2.6785	-12.5799	5.84
910	2.8161	-15.4680	4.89
930	2.8934	-27.7997	5.41
950	2.9334	-35.1331	5.24
983	3.0416	-17.9383	5.29
1067	3.3090	15.1836	2.83
1074	3.3318	-84.9940	5.78
1086	3.3785	41.0354	5.71
1096	3.4260	-26.0223	5.94
1158	3.6151	-7.7805	5.13
1168	3.6507	20.2067	4.79
1170	3.6601	-18.9329	4.44
1191	3.7271	-9.5696	5.77
1288	4.0369	-31.4464	5.66
1354	4.2377	61.5332	5.74
1366	4.2729	38.6816	4.61
1372	4.2877	47.9474	5.86
1473	4.5819	36.7852	4.51
1493	4.6594	31.5172	5.88
1562	4.8570	-8.8239	3.56
1599	5.0178	-64.8748	4.23
1630	5.1017	30.9356	5.89
1645	5.1494	8.1903	5.38
1647	5.1627	-69.6249	5.5
1657	5.1897	32.9112	5.79
1686	5.2803	37.9686	5.16
1706	5.3699	-77.4269	5.96
1708	5.3800	-28.9815	5.18
1728	5.4428	-20.0580	5.61
1921	6.0652	52.0199	5.58
1960	6.1979	61.8311	5.38
1982	6.2767	53.0468	5.72
2006	6.3509	1.9397	5.77
2021	6.4378	-77.2542	2.82
2072	6.5508	-43.6798	3.93
2081	6.5710	-42.3060	2.4
2159	6.8113	-25.5472	5.99
2210	6.9821	-33.0072	4.86
2219	7.0121	17.8931	5.01
2225	7.0569	44.3945	5.18
2240	7.1105	-39.9150	5.42
2353	7.5098	-3.9573	5.72
2355	7.5307	29.7516	5.2
2377	7.5831	59.9776	5.94
2381	7.5944	-23.7877	5.17
2383	7.6088	-48.2149	5.67
2472	7.8541	-48.8035	4.76
2475	7.8568	33.5816	5.88
2484	7.8861	-62.9582	4.36
2487	7.8895	-62.9656	4.53
2497	7.9215	52.8395	5.59
2505	7.9432	54.5223	4.74
2548	8.0991	6.9555	5.69
2568	8.1479	20.2943	5.38
2578	8.1829	-63.0315	5.07
2599	8.2500	62.9318	4.17
2611	8.2933	54.8950	5.93
2661	8.4210	-29.5583	5.55
2711	8.6160	-52.3731	5.57
2762	8.8120	-3.5928	5.2
2787	8.8868	-0.5056	5.94
2802	8.9216	-48.0009	5.51
2854	9.0346	54.1685	5.08
2876	9.1139	60.3262	5.78
2900	9.1935	44.4886	5.14
2903	9.1971	15.2317	5.89
2912	9.2202	33.7193	4.34
2920	9.2429	53.8969	3.69
2941	9.3363	-24.7673	5.57
2942	9.3384	35.3995	5.45
3031	9.6389	29.3118	4.34
3083	9.7912	49.3546	5.45
3092	9.8320	30.8610	3.27
3093	9.8409	21.2505	5.88
3137	9.9665	-44.7963	6
3138	9.9815	21.4385	5.36
3170	10.1070	-59.4546	5.89
3179	10.1268	56.5373	2.24
3193	10.1766	-4.3518	5.9
3231	10.2799	39.4587	5.3
3245	10.3315	-46.0850	4.59
3277	10.4433	-56.5013	5.72
3299	10.5143	66.1476	5.83
3300	10.5162	50.5125	4.8
3330	10.6182	-65.4680	5.38
3352	10.6748	-60.2628	5.99
3405	10.8385	-57.4631	4.36
3414	10.8670	47.0245	4.95
3419	10.8974	-17.9866	2.04
3455	11.0475	-10.6096	4.77
3456	11.0504	-38.4217	5.9
3478	11.1091	47.8640	5.66
3504	11.1813	48.2844	4.48
3505	11.1850	-22.0061	5.22
3521	11.2377	-42.6766	5.94
3544	11.3216	55.2214	5.41
3572	11.4128	74.9881	5.64
3583	11.4400	-47.5520	5.8
3607	11.5490	-22.5221	5.49
3632	11.6373	15.4755	5.36
3675	11.7561	11.9738	5.51
3693	11.8347	24.2672	4.08
3697	11.8485	6.7410	5.98
3717	11.9301	-18.0613	5.7
3721	11.9419	74.8476	5.42
3741	12.0044	-21.7225	5.57
3750	12.0381	72.6745	5.86
3760	12.0725	7.2999	5.92
3765	12.0957	5.2806	5.74
3781	12.1476	-74.9234	5.09
3786	12.1706	7.5851	4.44
3801	12.2084	50.9682	4.9
3810	12.2446	16.9406	5.07
3821	12.2762	57.8152	3.46
3834	12.3081	-24.1367	5.9
3849	12.3567	-13.5613	5.59
3881	12.4535	41.0789	4.53
3885	12.4715	27.7103	5.55
3909	12.5316	-10.6443	5.17
